                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7258,                 3.6843,                 1.5792,                0.07769,                 0.1951,                0.04263,                 0.0259,                 1.3115,                 3.5478,                 1.0433,             0.00011432,             0.00011432,             0.00011432
                      2,                 1.4454,                 2.2298,                  1.437,                0.16783,                 0.4882,                0.18361,                0.09665,                 1.6155,                 3.2799,                 1.1083,             0.00023331,             0.00023331,             0.00023331
                      3,                 1.1666,                 1.8153,                 1.2674,                 0.3427,                0.56421,                0.36708,                0.18875,                 1.7792,                 3.6879,                 1.1677,             0.00034211,             0.00034211,             0.00034211
                      4,                 1.1673,                 1.6045,                  1.247,                0.36838,                0.49428,                0.34383,                0.18244,                 1.7016,                 3.3653,                 1.1415,             0.00044073,             0.00044073,             0.00044073
                      5,                 1.2599,                   1.67,                 1.3169,                0.35415,                0.49347,                0.33894,                0.15221,                 2.0706,                 3.3091,                  1.327,             0.00052916,             0.00052916,             0.00052916
                      6,                 1.2131,                 1.4546,                 1.2086,                0.41392,                0.47308,                0.44252,                0.18129,                 2.1416,                 3.9752,                 1.4013,             0.00060741,             0.00060741,             0.00060741
                      7,                  1.189,                 1.2929,                 1.2033,                0.53728,                0.46848,                0.42877,                0.19868,                 2.0105,                 3.4963,                 1.2943,             0.00067547,             0.00067547,             0.00067547
                      8,                 1.2118,                 1.2516,                  1.178,                0.51615,                0.43217,                 0.4148,                0.17686,                 2.0789,                 3.9676,                 1.3685,             0.00073335,             0.00073335,             0.00073335
                      9,                 1.1663,                  1.156,                 1.1519,                  0.491,                0.46581,                0.41843,                0.19763,                 2.2734,                  4.671,                 1.4684,             0.00078103,             0.00078103,             0.00078103
                     10,                 1.1737,                  1.094,                 1.1665,                0.65307,                0.45774,                0.45219,                 0.2407,                 2.1056,                 2.7492,                 1.3533,             0.00081854,             0.00081854,             0.00081854
                     11,                 1.1416,                 1.1167,                 1.1554,                0.59277,                0.52769,                0.50214,                 0.2532,                 1.9744,                 2.5418,                 1.2436,             0.00084585,             0.00084585,             0.00084585
                     12,                 1.1804,                 1.0575,                 1.1644,                  0.794,                0.48079,                0.54442,                0.24526,                 2.1105,                 1.9642,                 1.3275,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.0683,                 1.0576,                 1.1298,                0.72661,                0.50444,                0.52297,                0.19524,                 2.2573,                  2.034,                 1.5301,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.1738,                 1.0476,                  1.207,                0.65081,                0.53182,                 0.5049,                0.16942,                 2.4008,                  2.256,                   1.59,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.0875,                0.91221,                  1.151,                0.73679,                0.50784,                0.51156,                0.22557,                 2.0481,                 1.9419,                 1.3138,             0.00069335,             0.00069335,             0.00069335
                     16,                0.99328,                0.73671,                 1.1083,                0.80776,                0.47288,                0.51416,                0.20058,                 2.3276,                 1.8168,                 1.4776,             0.00063676,             0.00063676,             0.00063676
                     17,                0.92591,                0.71242,                 1.0657,                0.73857,                0.49953,                0.52554,                0.22875,                 2.1519,                 1.6433,                 1.3765,             0.00058017,             0.00058017,             0.00058017
                     18,                0.91082,                0.63354,                 1.0478,                0.85322,                0.50584,                0.56767,                0.21467,                 2.3276,                  1.729,                 1.4907,             0.00052359,             0.00052359,             0.00052359
                     19,                 0.8698,                0.61157,                 1.0213,                0.73354,                0.54507,                0.57854,                0.23175,                 2.2994,                 1.6112,                 1.5107,               0.000467,               0.000467,               0.000467
                     20,                0.81421,                0.57597,                 1.0008,                0.80589,                0.51805,                0.58653,                0.29629,                 2.0086,                 1.4998,                 1.3462,             0.00041041,             0.00041041,             0.00041041
                     21,                0.83972,                 0.5567,                 1.0117,                0.80497,                0.52263,                0.59172,                0.27521,                 2.1641,                 1.5745,                 1.4443,             0.00035382,             0.00035382,             0.00035382
                     22,                0.82124,                0.55827,                0.99646,                0.82302,                0.49607,                0.57875,                 0.2533,                 2.3413,                 1.6568,                 1.5586,             0.00029723,             0.00029723,             0.00029723
                     23,                0.79617,                0.56285,                0.98877,                0.81186,                0.50773,                0.59781,                 0.2722,                 2.2421,                 1.5457,                 1.4693,             0.00024064,             0.00024064,             0.00024064
                     24,                0.78006,                0.51891,                0.95793,                0.84663,                0.57417,                0.64209,                0.30635,                 2.0216,                 1.3406,                 1.2941,             0.00018406,             0.00018406,             0.00018406
                     25,                0.74942,                 0.5013,                0.93029,                0.84353,                0.58107,                0.65181,                0.31271,                 1.9909,                 1.3242,                 1.2566,             0.00012747,             0.00012747,             0.00012747
